,Active Players (66),Pos.,Base Salary,Signing Bonus,Roster Bonus,Option Bonus,Workout Bonus,Restruc. Bonus,Misc.,Dead Cap,Cap Hit,Cap %
1,Larry Fitzgerald ,WR,11000000.0,2500000.0,0.0,2350000.0,0.0,0.0,1000000.0,15850000.0,16850000.0,10.16
2,Chandler Jones ,OLB,12500000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,36000000.0,15500000.0,9.34
3,Patrick Peterson ,CB,11000000.0,3072377.0,0.0,0.0,250000.0,634588.0,0.0,4976141.0,14956965.0,9.01
4,Sam Bradford ,QB,5000000.0,5000000.0,625000.0,0.0,0.0,0.0,0.0,10000000.0,10625000.0,6.40
5,Deone Bucannon ,ILB,8718000.0,0.0,0.0,0.0,0.0,0.0,0.0,8718000.0,8718000.0,5.25
6,Jermaine Gresham ,TE,5250000.0,1750000.0,218750.0,0.0,0.0,0.0,0.0,12750000.0,7218750.0,4.35
7,Mike Iupati ,G,5000000.0,1200000.0,0.0,0.0,0.0,500000.0,0.0,8400000.0,6700000.0,4.04
8,Antoine Bethea ,SS,3000000.0,666666.0,234375.0,0.0,0.0,500000.0,250000.0,2333334.0,4651041.0,2.80
9,Phil Dawson ,K,2500000.0,500000.0,500000.0,0.0,0.0,0.0,0.0,500000.0,3500000.0,2.11
10,Justin Pugh ,G,1000000.0,2000000.0,250000.0,0.0,250000.0,0.0,0.0,22000000.0,3500000.0,2.11
11,Haason Reddick ,ILB,1077635.0,1985539.0,0.0,0.0,0.0,0.0,0.0,5956618.0,3063174.0,1.85
12,D.J. Humphries ,LT,1450288.0,1185384.0,0.0,0.0,200000.0,0.0,0.0,1185384.0,2835672.0,1.71
13,Andre Smith ,G,915000.0,1292500.0,468750.0,0.0,0.0,0.0,0.0,3500000.0,2676250.0,1.61
14,Corey Peters ,DT,1250000.0,687500.0,609375.0,0.0,0.0,0.0,0.0,3312500.0,2546875.0,1.53
15,A.Q. Shipley ,C,1500000.0,362500.0,250000.0,0.0,0.0,0.0,250000.0,362500.0,2362500.0,1.42
16,Andy Lee ,P,1000000.0,362500.0,1000000.0,0.0,0.0,0.0,0.0,1362500.0,2362500.0,1.42
17,Robert Nkemdiche ,DE,1231873.0,1113745.0,0.0,0.0,0.0,0.0,0.0,4582173.0,2345618.0,1.41
18,David Johnson ,RB,1882500.0,159844.0,0.0,0.0,24500.0,0.0,0.0,159844.0,2066844.0,1.25
19,Mike Glennon ,QB,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,4000000.0,2000000.0,1.21
20,J.J. Nelson ,WR,1907000.0,52450.0,0.0,0.0,0.0,0.0,0.0,52450.0,1959450.0,1.18
21,Budda Baker ,SS,775455.0,776819.0,0.0,0.0,0.0,0.0,0.0,3105913.0,1552274.0,0.94
22,Josh Bynes ,OLB,790000.0,333333.0,161875.0,0.0,0.0,0.0,0.0,1250000.0,1285208.0,0.77
23,Markus Golden ,OLB,969318.0,277424.0,0.0,0.0,0.0,0.0,0.0,277424.0,1246742.0,0.75
24,Aaron Brewer ,LS,790000.0,68750.0,25000.0,0.0,0.0,0.0,0.0,620000.0,883750.0,0.53
25,Rodney Gunter ,DT,705000.0,127480.0,0.0,0.0,0.0,0.0,0.0,127480.0,832480.0,0.50
26,Brandon Williams ,CB,656000.0,168173.0,0.0,0.0,0.0,0.0,0.0,336349.0,824173.0,0.50
27,Chad Williams ,WR,581500.0,176572.0,0.0,0.0,0.0,0.0,0.0,0.0,758072.0,0.46
28,Evan Boehm ,G,630000.0,126620.0,0.0,0.0,0.0,0.0,0.0,253243.0,756620.0,0.46
29,Vinston Painter ,RT,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.42
30,Bene Benwikere ,CB,790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
31,Josh Allen ,C,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
32,Jeremy Cash ,OLB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
33,D.J. Foster ,WR,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
34,C.J. Goodwin ,S,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
35,Cobi Hamilton ,WR,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
36,Bronson Hill ,RB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
37,Gabe Holmes ,TE,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
38,Gabe Martin ,ILB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
39,Olsen Pierre ,DT,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
40,Edmond Robinson ,OLB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
41,Rashad Ross ,WR,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
42,Max Tuerk ,C,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
43,John Wetzel ,RT,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
44,Scooby Wright ,ILB,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,0.38
45,Will Holden ,T,555000.0,67032.0,0.0,0.0,0.0,0.0,0.0,0.0,622032.0,0.37
46,Johnathan Ford ,S,555000.0,35045.0,0.0,0.0,0.0,0.0,0.0,105136.0,590045.0,0.36
47,Carlton Agudosi ,WR,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
48,Bryson Albright ,OLB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
49,Vontarrius Dora ,OLB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
50,Harlan Miller ,CB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
51,Elijhaa Penny ,RB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
52,Ricky Seals-Jones ,TE,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
53,Louis Young ,CB,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555000.0,0.33
54,T.J. Logan ,RB,480000.0,50484.0,0.0,0.0,0.0,0.0,0.0,151453.0,530484.0,0.32
55,Peli Anau ,DT,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
56,Jarell Carter ,CB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
57,Moubarak Djeri ,DT,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
58,Brandon Doughty ,QB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
59,Praise Martin-Oguike ,DE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
60,Jonathan Moxey ,CB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
61,Daniel Munyer ,C,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
62,Pasoni Tasini ,DE,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
63,Alex Torgersen ,QB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
64,Darius Victor ,RB,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
65,Drew Williams ,LS,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,0.29
66,Brice Butler ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
68,Matt Ryan ,QB,19250000.0,0.0,0.0,2400000.0,0.0,0.0,0.0,2400000.0,21650000.0,12.19
69,Julio Jones ,WR,10500000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,4800000.0,12900000.0,7.26
70,Desmond Trufant ,CB,8500000.0,3000000.0,0.0,1400000.0,0.0,0.0,0.0,23250000.0,12900000.0,7.26
71,Jake Matthews ,LT,12496000.0,0.0,0.0,0.0,0.0,0.0,0.0,12496000.0,12496000.0,7.03
72,Alex Mack ,C,8500000.0,2300000.0,0.0,0.0,0.0,250000.0,0.0,16150000.0,11050000.0,6.22
73,Robert Alford ,CB,9000000.0,600000.0,0.0,0.0,0.0,0.0,0.0,10800000.0,9600000.0,5.40
74,Mohamed Sanu ,WR,6125000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,4200000.0,7525000.0,4.24
75,Ryan Schraeder ,RT,5000000.0,100000.0,218750.0,0.0,0.0,1200000.0,0.0,10100000.0,6518750.0,3.67
76,Andy Levitre ,G,3500000.0,0.0,812500.0,0.0,0.0,1375000.0,0.0,4875000.0,5687500.0,3.20
77,Devonta Freeman ,RB,2000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,14000000.0,5000000.0,2.81
78,Vic Beasley ,DE,705000.0,2200496.0,1706622.0,0.0,0.0,0.0,0.0,2905496.0,4612118.0,2.60
79,Levine Toilolo ,TE,3500000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0,4500000.0,2.53
80,Matt Schaub ,QB,2750000.0,1250000.0,500000.0,0.0,0.0,0.0,0.0,1250000.0,4500000.0,2.53
81,Brooks Reed ,DE,1500000.0,940000.0,0.0,0.0,0.0,1500000.0,0.0,4880000.0,3940000.0,2.22
82,Derrick Shelby ,DT,1250000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0,3250000.0,1.83
83,Jack Crawford ,DE,2250000.0,833333.0,68748.0,0.0,0.0,0.0,0.0,1666667.0,3152081.0,1.77
84,Brandon Fusco ,G,2250000.0,750000.0,0.0,0.0,0.0,0.0,0.0,4500000.0,3000000.0,1.69
85,Keanu Neal ,FS,1426150.0,1502299.0,0.0,0.0,0.0,0.0,0.0,6344973.0,2928449.0,1.65
86,Ricardo Allen ,SS,2914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914000.0,1.64
87,Ben Garland ,G,2914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914000.0,1.64
88,Matt Bosher ,P,2200000.0,500000.0,0.0,0.0,0.0,0.0,0.0,500000.0,2700000.0,1.52
89,Takkarist McKinley ,DE,929388.0,1392551.0,0.0,0.0,0.0,0.0,0.0,6500816.0,2321939.0,1.31
90,Grady Jarrett ,DT,1907000.0,61964.0,0.0,0.0,0.0,0.0,0.0,61964.0,1968964.0,1.11
91,Matt Bryant ,K,1100000.0,666666.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1766666.0,0.99
92,Justin Bethel ,CB,850000.0,400000.0,500000.0,0.0,0.0,0.0,0.0,400000.0,1750000.0,0.98
93,Deion Jones ,ILB,863240.0,376479.0,0.0,0.0,0.0,0.0,0.0,752961.0,1239719.0,0.70
94,Tevin Coleman ,RB,791628.0,186311.0,0.0,0.0,0.0,0.0,0.0,186311.0,977939.0,0.55
95,Ty Sambrailo ,LT,959447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959447.0,0.54
96,Josh Harris ,LS,805000.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,905000.0,0.51
97,Justin Hardy ,WR,705000.0,135206.0,0.0,0.0,0.0,0.0,0.0,135206.0,840206.0,0.47
98,Duke Riley ,LB,616500.0,222438.0,0.0,0.0,0.0,0.0,0.0,667314.0,838938.0,0.47
99,Austin Hooper ,TE,630000.0,193357.0,0.0,0.0,0.0,0.0,0.0,386714.0,823357.0,0.46
100,De'Vondre Campbell ,OLB,630000.0,141382.0,0.0,0.0,0.0,0.0,0.0,282764.0,771382.0,0.43
101,Logan Paulsen ,TE,915000.0,90000.0,0.0,0.0,0.0,0.0,0.0,200000.0,720000.0,0.41
102,Austin Pasztor ,T,790000.0,90000.0,0.0,0.0,0.0,0.0,0.0,90000.0,720000.0,0.41
103,Blidi Wreh-Wilson ,CB,790000.0,90000.0,0.0,0.0,0.0,0.0,0.0,90000.0,720000.0,0.41
104,Terrence Magee ,RT,705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,0.40
105,Sean Harlow ,G,555000.0,138576.0,0.0,0.0,0.0,0.0,0.0,409873.0,693576.0,0.39
106,Wes Schweitzer ,G,630000.0,33095.0,0.0,0.0,0.0,0.0,0.0,66191.0,663095.0,0.37
